ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
StringTie reference,107,StringTie (genome-guided),,,35345435,100,20673,54735756,100,54735756,0,25731,25731,0,0,1,1,0,1
evi ok,201,Trinity (k=25),evigene ok set,,19997102,56.57619435,13763,25820110,47.17229081,36426496,10606386,25625,16984,8641,8747,0.66005985,0.662790244,0.337209756,0.661422229
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,22345774,63.22110338,15293,31035452,56.70050853,66028913,34993461,42066,19867,22199,5864,0.772103688,0.472281653,0.527718347,0.58607313
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,22225734,62.88148385,15240,30726954,56.13689523,62309497,31582543,39619,19740,19879,5991,0.767168007,0.498245791,0.501754209,0.604131599
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,22036841,62.34706406,15103,30532924,55.78241031,61634440,31101516,39234,19634,19600,6097,0.763048463,0.500433298,0.499566702,0.604448549
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,22012911,62.27936083,15092,30492821,55.70914376,61271500,30778679,39044,19619,19425,6112,0.762465509,0.502484377,0.497515623,0.605758394
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,21971917,62.1633798,15059,30427452,55.58971726,59874557,29447105,38049,19571,18478,6160,0.760600054,0.514363058,0.485636942,0.613703355
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,23598284,66.76472931,16286,33201318,60.65745762,89620530,56419212,64963,21495,43468,4236,0.835373674,0.330880655,0.669119345,0.474011511
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,23225650,65.71046586,16007,32735636,59.80667555,83510918,50775282,60478,21274,39204,4457,0.826784812,0.351764278,0.648235722,0.493544758
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,23178873,65.57812345,15980,32620521,59.59636513,81973101,49352580,59574,21225,38349,4506,0.824880494,0.356279585,0.643720415,0.497626165
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,23125555,65.42727512,15937,32476000,59.33233114,79147300,46671300,57298,21135,36163,4596,0.821382768,0.368861042,0.631138958,0.50909923
Detonate,206,Trinity (k=25),Detonate,,8397280,23.75774976,7545,12155441,22.20749632,28592145,16436704,22329,10251,12078,15480,0.398391046,0.459089077,0.540910923,0.42659176
evi ok,301,TransLiG (k=25),evigene ok set,,17079839,48.32261648,11955,21992119,40.17870695,34611042,12618923,18637,14315,4322,11416,0.556332828,0.768095724,0.231904276,0.64528489
evi full,301,TransLiG (k=25),evigene ok + alt/cull set,,21625084,61.18211305,14908,29573568,54.02970592,81739410,52165842,38474,18793,19681,6938,0.730364152,0.488459739,0.511540261,0.585406121
evi4F --> TF1,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter),,21422274,60.60831901,14776,29159172,53.27262128,74767863,45608691,35006,18555,16451,7176,0.721114609,0.530051991,0.469948009,0.610994945
evi4F --> TF2,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,21269224,60.17530694,14617,29041042,53.05680258,73935628,44894586,34473,18445,16028,7286,0.71683961,0.535056421,0.464943579,0.612749983
evi4F --> TF3,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,21235995,60.0812948,14596,28987398,52.95879717,72565864,43578466,34001,18420,15581,7311,0.715868019,0.541748772,0.458251228,0.616754838
evi4 --> TF --> Det,303,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,21080216,59.64056179,14477,28765499,52.55339672,67065653,38300154,31902,18256,13646,7475,0.709494384,0.572252523,0.427747477,0.633525931
transfuse 1 (filter),304,TransLiG (k=25),Transfuse (filter),,22468294,63.56773937,15531,31117929,56.85119065,106642149,75524220,50746,19746,31000,5985,0.767401189,0.389114413,0.610885587,0.516390549
transfuse 2 (vsearch),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch),,22157180,62.68752952,15273,30919032,56.48781393,101359137,70440105,46916,19626,27290,6105,0.762737554,0.418322108,0.581677892,0.540311369
transfuse 3 (transrate),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,22083104,62.47795224,15212,30722311,56.12841266,96041081,65318770,45240,19511,25729,6220,0.758268237,0.43127763,0.56872237,0.549830212
TF3 --> Det,305,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,21862095,61.85266923,15047,30363695,55.47323581,84145222,53781527,40859,19272,21587,6459,0.74897983,0.471670868,0.528329132,0.578825649
Detonate,306,TransLiG (k=25),Detonate,,19762393,55.91215103,14165,27578691,50.38514678,71603787,44025096,43007,18339,24668,7392,0.712720065,0.426418955,0.573581045,0.533591318
"4 merger, IDBA k=1/3RL, rnaSPAdes def, Trinity k-25, TransLiG k=25",401,4 assemblies merged,with trimmed reads: IDBA k=31; rnaSPAdes k=55; TransLiG k=25; with assembly <em>in-silico normalization</em>: Trinity k=25,,26282980,74.36032404,17543,38387513,70.13242495,374252616,335865103,299839,23276,276563,2455,0.904589794,0.077628327,0.922371673,0.142986147
evi ok,402,4 assemblies merged,evigene ok set,,17983182,50.87837227,12648,23723084,43.3411096,39644161,15921077,31575,15728,15847,10003,0.611247134,0.498115598,0.501884402,0.548912854
evi full,402,4 assemblies merged,evigene ok + alt/cull set,,24382999,68.98486042,16326,34449659,62.93812586,136942365,102492706,78657,21223,57434,4508,0.824802767,0.269817054,0.730182946,0.406617619
evi4F --> TF1,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter),,23781914,67.28425891,16024,33260857,60.76623295,101121854,67860997,54522,20678,33844,5053,0.80362209,0.379259748,0.620740252,0.5153203
evi4F --> TF2,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,23530664,66.57341747,15836,32954242,60.20605982,99707343,66753101,53516,20481,33035,5250,0.795965955,0.382707975,0.617292025,0.516890229
evi4F --> TF3,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,23443697,66.32736873,15788,32788639,59.90350987,95835229,63046590,51979,20404,31575,5327,0.792973456,0.392543142,0.607456858,0.525131901
evi4 --> TF --> Det,404,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24228394,68.54744891,16269,32537009,59.4437921,85885580,53348571,46951,20229,26722,5502,0.786172321,0.430853443,0.569146557,0.556644011
transfuse 1 (filter),405,4 assemblies merged,Transfuse (filter),,24998718,70.72686473,16729,35633654,65.10123657,145492962,109859308,86548,21937,64611,3794,0.852551397,0.253466285,0.746533715,0.390758735
transfuse 2 (vsearch),405,4 assemblies merged,Transfuse (filter &#8594; vsearch),,24624994,69.66951744,16524,35207544,64.32275093,121316957,86109413,70601,21696,48905,4035,0.843185263,0.307304429,0.692695571,0.450442221
transfuse 3 (transrate),405,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate),,24386180,68.99386017,16380,34753997,63.494139,110244579,75490582,65561,21510,44051,4221,0.835956628,0.328091396,0.671908604,0.471235158
TF3 --> Det,406,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24228394,68.54744891,16269,34436899,62.91481386,99436334,64999435,59674,21343,38331,4388,0.829466402,0.357659952,0.642340048,0.499806803
ORP 1 (orthomerged),408,4 assemblies merged,ORP (orthomerged),,22502988,63.66589632,15817,32110444,58.66447519,224610174,192499730,126670,21094,105576,4637,0.819789359,0.166527197,0.833472803,0.276822331
ORP 2 (cd-hit),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit c=1; original method used c=0.98),,22440657,63.48954823,15764,32014060,58.48838554,203900655,171886595,94300,21001,73299,4730,0.816175042,0.222704136,0.777295864,0.349926269
ORP 3 (High exp),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression TPM&#8805;0.05; original method used TPM&#8805;1),,22161795,62.70058637,15565,31461411,57.4787183,170076660,138615249,76503,20708,55795,5023,0.804787999,0.270682195,0.729317805,0.405109846
ORP 4 (with blast),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression &#8594;  blast recovery of low exp.),,22412024,63.40853918,15735,31949206,58.36989992,190294832,158345626,83445,20958,62487,4773,0.814503906,0.251159446,0.748840554,0.383930534
"15 merger: IDBA 1/3, 1/2; rnaSPAdes def, Soap 1/3,1/2; TransLiG k=25,31 + norm; Trinity k=25",501,15 assemblies merged,with trimmed reads: IDBA k=31 71; rnaSPAdes k=55; Soap 25 51; TransLiG k=25 31 <br />with BBNorm normalized reads: IDBA k=31 71; rnaSPAdes k=55; Soap 25 51; TransLiG k=25 31 <br />with assembly <em>in-silico normalization</em>: Trinity k=25,,27406432,77.53881654,18142,40754714,74.4572049,1268867335,1228112621,960042,24011,936031,1720,0.933154561,0.025010364,0.974989636,0.048715069
