ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
simulation reference,107,simulated reads,simulated with FluxSimulator,,45533676,100,28872,22991161,100,22991161,0,43814,43814,0,0,1,1,0,1
HISAT2 -- StringTie1,107,genome-guided assembly,HISAT2 &#8594; Stringtie,,15510629,34.06408259,17587,18894109,82.17988209,24014364,5120255,35699,27512,8187,16302,0.627927147,0.770665845,0.229334155,0.692012627
HISAT2 -- Scallop,107,genome-guided assembly,HISAT2 &#8594; Scallop,,12326129,27.07035777,14305,14085251,61.26376567,21865663,7780412,32951,19808,13143,24006,0.452092938,0.601135019,0.398864981,0.516068521
HISAT2 -- Strawberry,107,genome-guided assembly,HISAT2 &#8594; Strawberry,,12704744,27.90186323,13708,14240616,61.93952537,17044984,2804368,22321,18148,4173,25666,0.414205505,0.81304601,0.18695399,0.548816814
HISAT2 -- Traph,107,genome-guided assembly,HISAT2 &#8594; Traph,,11424767,25.09080752,11422,11803949,51.34124806,49876540,38072591,25072,14667,10405,29147,0.334756014,0.584995214,0.415004786,0.425833987
Tophat2 -- Bayesembler,107,genome-guided assembly,Tophat2 &#8594; Bayesembler,,11308350,24.83513521,12839,12151190,52.85157196,18538069,6386879,19527,17212,2315,26602,0.39284247,0.881446203,0.118553797,0.543471054
Tophat2 -- TransComb,107,genome-guided assembly,Tophat2 &#8594; Transcomb,,17021928,37.3831623,19766,17258982,75.06790109,27101831,9842849,36127,27504,8623,16310,0.627744557,0.761314252,0.238685748,0.688107479
evi ok,201,Trinity (k=25),evigene ok set,,8909747,19.5673791,10764,9375407,40.77831041,11195263,1819856,15241,12744,2497,31070,0.290865933,0.836165606,0.163834394,0.431597663
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,10950647,24.0495562,13163,11108168,48.31495025,18753771,7645603,23310,16405,6905,27409,0.3744237,0.703775204,0.296224796,0.488796854
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,10462931,22.97844567,11581,10425866,45.34727933,16346004,5920138,17459,13751,3708,30063,0.313849455,0.787616702,0.212383298,0.4488437
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,10486513,23.03023591,11624,10451596,45.4591919,16344185,5892589,17455,13829,3626,29985,0.315629707,0.792265826,0.207734174,0.451419152
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,10448358,22.94644078,11543,10414795,45.29912604,16142000,5727205,17197,13713,3484,30101,0.312982152,0.797406524,0.202593476,0.449525495
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,10182661,22.36292321,11126,10237560,44.52824283,14685658,4448098,15794,13119,2675,30695,0.299424841,0.830631886,0.169368114,0.440175815
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,10630432,23.34630747,11970,10652227,46.33183596,21156319,10504092,24184,14354,9830,29460,0.327612179,0.593532914,0.406467086,0.422188888
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,10631888,23.3495051,11976,10652704,46.33391067,17069770,6417066,18524,14324,4200,29490,0.326927466,0.773267113,0.226732887,0.459559177
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,10606675,23.2941329,11921,10623586,46.207262,16864628,6241042,18276,14228,4048,29586,0.324736386,0.778507332,0.221492668,0.458302464
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,10355516,22.74254334,11519,10458575,45.48954705,15320813,4862238,16827,13651,3176,30163,0.311567079,0.81125572,0.18874428,0.450223446
Detonate,206,Trinity (k=25),Detonate,,10581188,23.23815894,12011,10737737,46.7037615,21935015,11197278,26421,14515,11906,29299,0.331286803,0.549373604,0.450626396,0.413326689
evi ok,301,TransLiG (k=25),evigene ok set,,9047627,19.87018795,10883,9253930,40.24994649,13210336,3956406,13569,12434,1135,31380,0.283790569,0.916353453,0.083646547,0.433368768
