ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
StringTie reference,107,StringTie (genome-guided),,,48542848,100,33873,192326059,100,192326059,0,135239,135239,0,0,1,1,0,1
evi ok,201,Trinity (k=25),evigene ok set,,19192504,39.53724347,19907,43163681,22.44297066,71271590,28107909,84180,50870,33310,84369,0.376148892,0.604300309,0.395699691,0.46367908
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,27229239,56.0932045,26167,69549038,36.16204604,170805149,101256111,157502,72483,85019,62756,0.535962259,0.46020368,0.53979632,0.495202244
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,27192759,56.0180544,26127,69279041,36.02166101,166264199,96985158,150950,71825,79125,63414,0.531096799,0.475819808,0.524180192,0.501941025
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,27162369,55.95544992,26106,69238267,36.00046055,165745811,96507544,150450,71865,78585,63374,0.531392572,0.477666999,0.522333001,0.503099524
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,27153026,55.936203,26089,69173769,35.96692479,164770061,95596292,149260,71740,77520,63499,0.530468282,0.480637813,0.519362187,0.504325147
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,27060723,55.74605553,26005,68657108,35.69828673,157185286,88528178,143028,70979,72049,64260,0.524841207,0.496259474,0.503740526,0.510150323
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,27828564,57.3278354,27066,79518537,41.34569045,228938862,149420325,268010,89137,178873,46102,0.65910721,0.332588336,0.667411664,0.442094091
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,27808243,57.28597341,27067,78741299,40.94156528,225967697,147226398,264632,88603,176029,46636,0.655158645,0.334815895,0.665184105,0.443157918
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,27786675,57.24154256,27049,78645343,40.89167293,223740390,145095047,262535,88482,174053,46757,0.654263933,0.337029348,0.662970652,0.444885789
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,27666697,56.9943836,26933,77887730,40.49775179,210967460,133079730,249455,87428,162027,47811,0.646470323,0.350476038,0.649523962,0.454532694
Detonate,206,Trinity (k=25),Detonate,,27751176,57.16841336,27006,79359619,41.26306098,224954511,145594892,276706,89389,187317,45850,0.660970578,0.323046844,0.676953156,0.433985119
evi ok,301,TransLiG (k=25),evigene ok set,,26972178,55.56364966,25603,64094744,33.32608401,190865231,126770487,110696,60637,50059,74602,0.448369183,0.547779504,0.452220496,0.493114034
evi full,301,TransLiG (k=25),evigene ok + alt/cull set,,27014098,55.65000636,25715,65585226,34.10106064,196171988,130586762,119663,63967,55696,71272,0.472992258,0.534559555,0.465440445,0.501894846
evi4F --> TF1,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter),,26887948,55.39013286,25581,65008065,33.80096558,187049985,122041920,112141,63006,49135,72233,0.46588632,0.561846247,0.438153753,0.509386369
evi4F --> TF2,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,26773601,55.15457395,25440,64397647,33.48357853,184293072,119895425,109517,62226,47291,73013,0.460118753,0.568185761,0.431814239,0.508473745
evi4F --> TF3,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,26756541,55.11942975,25417,64291090,33.42817418,182345007,118053917,108428,62066,46362,73173,0.458935662,0.572416719,0.427583281,0.509432956
evi4 --> TF --> Det,303,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,26560526,54.71563185,25233,63512498,33.02334501,169298374,105785876,101049,60895,40154,74344,0.450276917,0.602628428,0.397371572,0.515430322
transfuse 1 (filter),304,TransLiG (k=25),Transfuse (filter),,27870677,57.41458968,26658,72922980,37.91632833,264318608,191395628,164474,74044,90430,61195,0.547504788,0.450186656,0.549813344,0.494099355
transfuse 2 (vsearch),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch),,27767865,57.20279329,26528,72225874,37.55386783,259647101,187421227,159084,72991,86093,62248,0.539718572,0.458820497,0.541179503,0.495992498
transfuse 3 (transrate),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,27741467,57.14841247,26504,72022715,37.44823524,252983077,180960362,155803,72741,83062,62498,0.537869993,0.466878045,0.533121955,0.499865999
TF3 --> Det,305,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,27482968,56.6158953,26261,70724174,36.7730584,218903489,148179315,138320,70797,67523,64442,0.523495441,0.511834876,0.488165124,0.517599494
Detonate,306,TransLiG (k=25),Detonate,,27659241,56.97902397,26499,72030287,37.4521723,225325159,153294872,150821,73045,77776,62194,0.540117865,0.484315845,0.515684155,0.510697057
"4 merger, IDBA k=1/3RL, rnaSPAdes def, Trinity k-25, TransLiG k=27",401,4 assemblies merged,with trimmed reads: IDBA k=31; rnaSPAdes k=49; TransLiG k=27; with assembly <em>in-silico normalization</em>: Trinity k=25,,33023623,68.02984242,30194,99955658,51.97197848,774299948,674344290,1096291,106126,990165,29113,0.784729257,0.096804589,0.903195411,0.172348217
evi ok,402,4 assemblies merged,evigene ok set,,18378368,37.86009424,19388,42122779,21.90175331,84375660,42252881,111269,53995,57274,81244,0.399256132,0.485265438,0.514734562,0.438079089
evi full,402,4 assemblies merged,evigene ok + alt/cull set,,32366015,66.67514646,29461,88228770,45.87457907,416569839,328341069,345144,89653,255491,45586,0.662922678,0.259755348,0.740244652,0.373256339
evi4F --> TF1,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter),,31810478,65.53072041,28975,86026546,44.72953195,343720989,257694443,265245,86082,179163,49157,0.636517573,0.324537692,0.675462308,0.429889833
evi4F --> TF2,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,31792717,65.49413211,28969,85838995,44.63201474,342228402,256389407,263050,85924,177126,49315,0.635349271,0.326645125,0.673354875,0.431465594
evi4F --> TF3,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,31792717,65.49413211,28969,85330747,44.36775102,330555242,245224495,255866,85439,170427,49800,0.631763027,0.33392088,0.66607912,0.436910804
evi4 --> TF --> Det,404,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,31405892,64.6972588,28670,84034539,43.69378723,296014655,211980116,231560,83757,147803,51482,0.619325786,0.361707549,0.638292451,0.45669154
transfuse 1 (filter),405,4 assemblies merged,Transfuse (filter),,32082905,66.09192975,29314,94058446,48.90572109,453619283,359560837,442380,96631,345749,38608,0.71452022,0.218434378,0.781565622,0.334583869
transfuse 2 (vsearch),405,4 assemblies merged,Transfuse (filter &#8594; vsearch),,32051735,66.02771844,29286,93318572,48.52102335,434299476,340980904,406313,95924,310389,39315,0.709292438,0.236084004,0.763915996,0.354255916
transfuse 3 (transrate),405,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate),,31877272,65.66831843,29152,92445250,48.06693928,410571263,318126013,389553,95131,294422,40108,0.703428745,0.244205538,0.755794462,0.362547447
TF3 --> Det,406,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,31577966,65.05173738,28932,90929219,47.27867844,362915852,271986633,352956,93571,259385,41668,0.691893611,0.265106699,0.734893301,0.383334528
ORP 1 (orthomerged),408,4 assemblies merged,ORP (orthomerged),,22214319,45.76229026,23505,62819209,32.66286915,211416682,148597473,399735,81653,318082,53586,0.603768144,0.204267827,0.795732173,0.305259695
ORP 2 (cd-hit),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit c=1; original method used c=0.98),,22211538,45.7565613,23501,62647571,32.57362592,197275235,134627664,341851,81129,260722,54110,0.599893522,0.237322693,0.762677307,0.340099352
ORP 3 (High exp),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression TPM&#8805;0.05; original method used TPM&#8805;1),,21740966,44.78716618,22990,60263962,31.3342676,161442483,101178521,236797,76394,160403,58845,0.564881432,0.322613884,0.677386116,0.410680687
ORP 4 (with blast),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression &#8594;  blast recovery of low exp.),,22122488,45.57311512,23361,61615644,32.03707512,177263843,115648199,266997,78226,188771,57013,0.57842782,0.292984565,0.707015435,0.388955737
"15 merger: IDBA 1/3, 1/2; rnaSPAdes def, Soap 1/3,1/2; TransLiG k=27,31 + norm; Trinity k=25",501,15 assemblies merged,with trimmed reads: IDBA k=31 41; rnaSPAdes k=49; Soap 25 41; TransLiG k=27 31 <br />with BBNorm normalized reads: IDBA k=31 41; rnaSPAdes k=49; Soap 25 41; TransLiG k=27 31 <br />with assembly <em>in-silico normalization</em>: Trinity k=25,,36899442,76.01416794,31920,117505235,61.09688703,2673429471,2555924236,3867936,114732,3753204,20507,0.848364747,0.029662332,0.970337668,0.057320502
evi ok,502,15 assemblies merged,evigene ok set,,17442577,35.93233137,19153,39756768,20.67154509,86769237,47012469,116537,53633,62904,81606,0.396579389,0.460222933,0.539777067,0.42603743
evi full,502,15 assemblies merged,evigene ok + alt/cull set,,36383385,74.95107209,31464,106555240,55.4034334,1175793454,1069238214,828082,101589,726493,33650,0.751181242,0.12267988,0.87732012,0.210914119
evi4F --> TF1,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter),,35010734,72.12336202,30468,99888850,51.93724164,643969488,544080638,425313,93962,331351,41277,0.694784788,0.220924355,0.779075645,0.335248113
evi4F --> TF2,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,35041447,72.1866319,30477,99977963,51.98357598,642368184,542390221,423209,94029,329180,41210,0.695280208,0.222181003,0.777818997,0.336751139
evi4F --> TF3,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,34712646,71.5092901,30276,98379643,51.15252895,573119334,474739691,386675,92856,293819,42383,0.686606674,0.240139652,0.759860348,0.355828738
evi4 --> TF --> Det,504,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,34349909,70.76203893,30038,96417696,50.13241393,485352325,388934629,328825,90682,238143,44557,0.67053143,0.275775869,0.724224131,0.390816784
transfuse 1 (filter),505,15 assemblies merged,"Transfuse (filter) (failed at first stage of Transfuse, during Snap alignment of reads while running Transrate)","failed at first stage of Transfuse, during Snap alignment of reads while running Transrate",0,,0,0,0,0,0,0,0,0,135239,0,,,
TPM>0,505,"TPM>0 (TPM filtering added due to failure at first stage of Transfuse, during Snap alignment of reads while running Transrate)",,,34917143,71.93056122,30713,106250946,55.24521563,702393384,596142438,636003,105941,530062,29298,0.783361308,0.166573114,0.833426886,0.274728295
TPM>0--transfuse 1 (filter),505,"TPM>0 &#8594; Transfuse (filter &#8594; vsearch) (TPM filtering added due to failure at first stage of Transfuse, during Snap alignment of reads while running Transrate)",Transfuse (filter &#8594; vsearch),,34459527,70.97611372,30361,103026006,53.56840697,571435334,468409328,450968,101402,349566,33837,0.749798505,0.224854092,0.775145908,0.345959704
TPM>0--transfuse 2 (vsearch),505,"TPM>0 &#8594; Transfuse (filter &#8594; vsearch) (TPM filtering added due to failure at first stage of Transfuse, during Snap alignment of reads while running Transrate)",Transfuse (filter &#8594; vsearch &#8594; Transrate),,34453827,70.61831642,30360,102595876,53.34476073,561844020,459248144,436350,101020,335330,34219,0.746973876,0.231511401,0.768488599,0.353470763
TPM>0--transfuse 3 (transrate),505,"TPM>0 &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) (TPM filtering added due to failure at first stage of Transfuse, during Snap alignment of reads while running Transrate)",Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,34280142,70.61831642,30252,101807277,52.93472841,534085039,432277762,421327,100395,320932,34844,0.742352428,0.238282854,0.761717146,0.360765839
