ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
StringTie reference,107,StringTie (genome-guided),,,207015341,100,40461,91546466,100,91546466,0,43933,43933,0,0,1,1,0,1
evi ok,201,Trinity (k=25),evigene ok set,,22876516,11.05063803,14406,29076355,31.76130797,50840388,21764033,58467,23722,34745,20211,0.539958573,0.405733149,0.594266851,0.463320313
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,26588305,12.84363993,15973,35057165,38.29439467,77658529,42601364,73030,26811,46219,17122,0.610270184,0.3671231,0.6328769,0.458452673
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,26445330,12.774575,15745,34658536,37.85895569,73090859,38432323,60356,25331,35025,18602,0.576582523,0.419693154,0.580306846,0.485784694
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,26154364,12.63402213,15671,34283831,37.44964989,71848348,37564517,59814,25225,34589,18708,0.574169758,0.421724011,0.578275989,0.486279121
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,26137430,12.62584206,15654,34244335,37.40650677,71366992,37122657,59341,25134,34207,18799,0.572098423,0.423552013,0.576447987,0.486744001
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,25936376,12.52872172,15406,33873260,37.00116616,67474766,33601506,53031,24260,28771,19673,0.552204493,0.457468273,0.542531727,0.500391898
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,27976598,13.51426318,16999,38441673,41.99143307,95713472,57271799,97288,30461,66827,13472,0.693351239,0.313101307,0.686898693,0.431394764
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,27578993,13.3221977,16887,37834744,41.32845936,93811614,55976870,96272,30289,65983,13644,0.689436187,0.314618996,0.685381004,0.43206733
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,27541440,13.3040575,16848,37771392,41.25925735,92711949,54940557,94718,30144,64574,13789,0.686135707,0.318249963,0.681750037,0.434818357
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,27304854,13.18977322,16392,37096937,40.52252219,84435641,47338704,73882,28095,45787,15838,0.639496506,0.380268536,0.619731464,0.476934176
Detonate,206,Trinity (k=25),Detonate,,27898146,13.47636647,16640,38068236,41.58351236,90362225,52293989,78711,28724,49987,15209,0.653813762,0.364929934,0.635070066,0.468412641
evi ok,301,TransLiG (k=25),evigene ok set,,22110906,10.68080554,13207,27144797,29.65138709,48131533,20986736,34501,19352,15149,24581,0.440488926,0.560911278,0.439088722,0.493459469
evi full,301,TransLiG (k=25),evigene ok + alt/cull set,,25052670,12.10184225,14503,31530152,34.44169216,65683390,34153238,42456,21714,20742,22219,0.494252612,0.511447145,0.488552855,0.50270289
evi4F --> TF1,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter),,25011364,12.08188914,14453,31460507,34.36561604,64672430,33211923,41251,21517,19734,22416,0.489768511,0.521611597,0.478388403,0.505188768
evi4F --> TF2,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,24862712,12.0100819,14427,31361146,34.2570799,63986113,32624967,40909,21559,19350,22374,0.490724512,0.526998949,0.473001051,0.508215271
evi4F --> TF3,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,24854732,12.00622711,14412,31345059,34.2395074,63756641,32411582,40678,21530,19148,22403,0.490064416,0.529278726,0.470721274,0.50891728
