ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
StringTie reference,107,StringTie (genome-guided),,,190151406,100,40477,88526928,100,88526928,0,46876,46876,0,0,1,1,0,1
evi ok,201,Trinity (k=25),evigene ok set,,20309590,10.68074669,13193,25018868,28.26130824,47661087,22642219,41832,20368,21464,26508,0.434508064,0.486899981,0.513100019,0.459214502
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,25060773,13.17937823,15315,31905557,36.04051075,81522199,49616642,60269,24297,35972,22579,0.518324942,0.403142577,0.596857423,0.453534929
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,24840763,13.06367569,15019,31495925,35.57779052,77104260,45608335,52484,22879,29605,23997,0.488074921,0.435923329,0.564076671,0.460527375
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,24320284,12.78995749,14867,30921814,34.92927485,74891693,43969879,51452,22728,28724,24148,0.484853656,0.4417321,0.5582679,0.46228948
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,24299635,12.77909825,14845,30877216,34.87889696,74367539,43490323,51028,22643,28385,24233,0.483040362,0.443736772,0.556263228,0.462555156
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24129403,12.6895738,14662,30579378,34.54245922,71698447,41119069,48401,22084,26317,24792,0.471115283,0.456271565,0.543728435,0.46357463
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,26718292,14.05106203,16428,35291667,39.86545992,96073082,60781415,74536,27448,47088,19428,0.585544842,0.368251583,0.631748417,0.452146411
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,25896749,13.61901526,16178,34262515,38.70293003,92128234,57865719,72310,27087,45223,19789,0.577843673,0.374595492,0.625404508,0.454533251
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,25838843,13.58856268,16120,34160653,38.58786673,90856622,56695969,70805,26871,43934,20005,0.573235771,0.379507097,0.620492903,0.456675249
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,25615072,13.47088225,15765,33658644,38.02079747,86177918,52519274,63820,25639,38181,21237,0.546953665,0.401739267,0.598260733,0.463232637
Detonate,206,Trinity (k=25),Detonate,,26822260,14.10573846,16301,35249349,39.81765752,96932083,61682734,72255,26746,45509,20130,0.570569161,0.370161235,0.629838765,0.449018308
evi ok,301,TransLiG (k=25),evigene ok set,,20074233,10.55697322,12335,24074268,27.19428827,49718538,25644270,30979,17569,13410,29307,0.374797338,0.567126118,0.432873882,0.451326183
evi full,301,TransLiG (k=25),evigene ok + alt/cull set,,23657313,12.44130322,13998,29275431,33.06952095,76203150,46927719,41840,20486,21354,26390,0.437025343,0.489627151,0.510372849,0.461833266
evi4F --> TF1,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter),,23602891,12.41268287,13920,29179277,32.96090541,73663159,44483882,39620,20178,19442,26698,0.430454817,0.509288238,0.490711762,0.466564928
evi4F --> TF2,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,23422117,12.31761442,13876,29129024,32.90413963,72636070,43507046,39077,20316,18761,26560,0.433398754,0.519896614,0.480103386,0.472723465
evi4F --> TF3,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,23417727,12.31530573,13864,29119123,32.89295546,72388275,43269152,38915,20275,18640,26601,0.432524106,0.521007324,0.478992676,0.472660302
evi4 --> TF --> Det,303,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,23299031,12.25288389,13708,28881951,32.62504602,69791841,40909890,36912,19707,17205,27169,0.420407031,0.533891417,0.466108583,0.470401489
transfuse 1 (filter),304,TransLiG (k=25),Transfuse (filter),,24904722,13.09731152,14912,31817209,35.94071286,89281327,57464118,52059,23364,28695,23512,0.498421367,0.448798479,0.551201521,0.472310103
transfuse 2 (vsearch),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch),,24594959,12.93440817,14827,31532391,35.61898251,87393518,55861127,50915,23383,27532,23493,0.498826692,0.459255622,0.540744378,0.478223967
transfuse 3 (transrate),304,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,24574213,12.92349792,14806,31505088,35.58814105,86593714,55088626,50502,23331,27171,23545,0.497717382,0.461981704,0.538018296,0.47918421
TF3 --> Det,305,TransLiG (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24408712,12.83646149,14564,31130093,35.16454677,81243962,50113869,46041,22344,23697,24532,0.476661831,0.485306575,0.514693425,0.48094536
Detonate,306,TransLiG (k=25),Detonate,,24840380,13.06347427,14769,31605662,35.70174942,87120504,55514842,49499,22575,26924,24301,0.481589726,0.45606982,0.54393018,0.46848249
"4 merger, IDBA k=1/3RL, rnaSPAdes def, Trinity k-25, TransLiG k=25",401,4 assemblies merged,with trimmed reads: IDBA k=31; rnaSPAdes k=49; TransLiG k=25; with assembly <em>in-silico normalization</em>: Trinity k=25,,33656826,17.70001427,19926,45332706,51.20781555,390663390,345330684,412997,38923,374074,7953,0.830339619,0.094245237,0.905754763,0.16927717
evi ok,402,4 assemblies merged,evigene ok set,,21755076,11.44092303,13704,27575345,31.14910415,68715530,41140185,54753,23110,31643,23766,0.493002816,0.422077329,0.577922671,0.454791447
evi full,402,4 assemblies merged,evigene ok + alt/cull set,,29649176,15.5924043,17065,38378388,43.35221934,160835752,122457364,104585,29558,75027,17318,0.630557215,0.282621791,0.717378209,0.390305095
evi4F --> TF1,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter),,23602891,12.41268287,13920,37460221,42.31505808,127344735,89884514,76654,28097,48557,18779,0.59938988,0.366543168,0.633456832,0.454901643
evi4F --> TF2,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,23422117,12.31761442,13876,36992849,41.78711476,122242603,85249754,74318,27907,46411,18969,0.595336633,0.375507952,0.624492048,0.46053435
evi4F --> TF3,403,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,23417727,12.31530573,13864,36863320,41.64079883,118926513,82063193,72541,27800,44741,19076,0.593054015,0.383231552,0.616768448,0.465595351
evi4 --> TF --> Det,404,4 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,27819800,14.63034147,16049,36317765,41.02454001,109566213,73248448,65251,26948,38303,19928,0.574878403,0.412989839,0.587010161,0.480669241
transfuse 1 (filter),405,4 assemblies merged,Transfuse (filter),,31368616,16.49665215,18475,42641994,48.16838782,205750344,163108350,158593,36091,122502,10785,0.769924908,0.227569943,0.772430057,0.351303603
transfuse 2 (vsearch),405,4 assemblies merged,Transfuse (filter &#8594; vsearch),,30466967,16.0224779,18093,41833873,47.2555345,167378914,125545041,136009,35640,100369,11236,0.76030378,0.262041483,0.737958517,0.389753124
transfuse 3 (transrate),405,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate),,30204344,15.88436533,17964,41488657,46.86557857,158981906,117493249,130268,35430,94838,11446,0.755823876,0.271977769,0.728022231,0.400013548
TF3 --> Detonate,406,4 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,29749313,15.64506602,17662,40721664,45.99918343,143422442,102700778,118188,34730,83458,12146,0.740890861,0.29385386,0.70614614,0.420806475
ORP 1 (orthomerged),408,4 assemblies merged,ORP (orthomerged),,22262367,11.7077057,16099,29836347,33.70313155,192844700,163008353,147773,31979,115794,14897,0.682204113,0.216406245,0.783593755,0.32858119
ORP 2 (cd-hit),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit c=1; original method used c=0.98),,22208897,11.679586,16016,29796039,33.65759964,166794688,136998649,132801,31875,100926,15001,0.679985494,0.240020783,0.759979217,0.354803342
ORP 3 (High exp),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression TPM&#8805;0.05; original method used TPM&#8805;1),,21643865,11.38243753,15225,28589304,32.29447203,151684560,123095256,89202,28412,60790,18464,0.606109736,0.318513038,0.681486962,0.417584033
ORP 4 (with blast),408,4 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression &#8594;  blast recovery of low exp.),,22121359,11.63355006,15675,29233449,33.02209809,156822422,127588973,96191,29344,66847,17532,0.625991979,0.305059725,0.694940275,0.410213397
"15 merger: IDBA 1/3, 1/2; rnaSPAdes def, Soap 1/3,1/2; TransLiG k=25,31 + norm; Trinity k=25",501,15 assemblies merged,with trimmed reads: IDBA k=31 41; rnaSPAdes k=49; Soap 25 41; TransLiG k=25 31 <br />with BBNorm normalized reads: IDBA k=31 41; rnaSPAdes k=49; Soap 25 41; TransLiG k=25 31 <br />with assembly <em>in-silico normalization</em>: Trinity k=25,,36020075,18.94283916,20955,48292090,54.55073512,1263917336,1215625246,1321818,40463,1281355,6413,0.863192252,0.030611627,0.969388373,0.059126437
evi ok,502,15 assemblies merged,evigene ok set,,21263409,11.18235697,13805,27185503,30.7087387,75690103,48504600,64824,24117,40707,22759,0.514485024,0.372038134,0.627961866,0.431817368
