ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
simulation reference,107,simulated reads,simulated with FluxSimulator,,50845088,100,18961,38541904,100,38541904,0,19820,19820,0,0,1,1,0,1
HISAT2 -- StringTie1,107,genome-guided assembly,HISAT2 &#8594; Stringtie,,26809453,52.72771482,11720,27231770,70.65496816,40469163,13237393,24396,13347,11049,6473,0.673410696,0.547097885,0.452902115,0.603718111
HISAT2 -- Scallop,107,genome-guided assembly,HISAT2 &#8594; Scallop,,26143757,51.41845167,10894,25722532,66.73913152,34219258,8496726,16459,11082,5377,8738,0.55913219,0.673309436,0.326690564,0.610931944
HISAT2 -- Strawberry,107,genome-guided assembly,HISAT2 &#8594; Strawberry,,24478774,48.1438325,10857,24453167,63.44566423,30394478,5941311,16541,11742,4799,8078,0.592431887,0.709872438,0.290127562,0.645856825
HISAT2 -- Traph,107,genome-guided assembly,HISAT2 &#8594; Traph (Traph failed),Traph failed,0,0,0,0,0,0,0,0,0,0,19820,,,,
Tophat2 -- Bayesembler,107,genome-guided assembly,Tophat2 &#8594; Bayesembler (Bayesembler failed),Bayesembler failed,0,0,0,0,0,0,0,0,0,0,19820,,,,
Tophat2 -- TransComb,107,genome-guided assembly,Tophat2 &#8594; Transcomb,,29227007,57.48245927,11995,28299797,73.42604818,41452364,13152567,19219,12418,6801,7402,0.62653885,0.646131432,0.353868568,0.636184328
evi ok,201,Trinity (k=25),evigene ok set,,19624089,38.59584037,9066,19725283,51.1787975,23959966,4234683,12955,9438,3517,10382,0.476185671,0.728521806,0.271478194,0.575926773
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,23484285,46.18791298,10656,23345294,60.57120063,33412382,10067088,16005,11008,4997,8812,0.555398587,0.687785067,0.312214933,0.614542917
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,23104122,45.44022424,10533,23046784,59.79669297,31041253,7994469,15403,10893,4510,8927,0.549596367,0.707199896,0.292800104,0.61851631
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,22924528,45.08700624,10518,22864061,59.32260378,30413435,7549374,15331,10880,4451,8940,0.548940464,0.709673211,0.290326789,0.619043555
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,22911067,45.06053171,10510,22854847,59.29869733,30263200,7408353,15288,10873,4415,8947,0.548587286,0.711211408,0.288788592,0.619402985
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,22817220,44.87595734,10436,22787514,59.12399657,29687567,6900053,15028,10802,4226,9018,0.545005045,0.718791589,0.281208411,0.619949495
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,24323073,47.83760626,12110,24418629,63.35605267,35833335,11414706,24939,13119,11820,6701,0.661907164,0.526043546,0.473956454,0.586206126
