ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
StringTie reference,107,StringTie (genome-guided),,,57740105,100,21342,66841057,100,66841057,0,28638,28638,0,0,1,1,0,1
evi ok,201,Trinity (k=25),evigene ok set,,25360166,43.92123291,11865,26491283,39.63324967,39146462,12655179,28719,13165,15554,15473,0.45970389,0.458407326,0.541592674,0.459054693
evi full,201,Trinity (k=25),evigene ok + alt/cull set,,29374846,50.87425109,13953,31869264,47.67917419,60313557,28444293,37083,15428,21655,13210,0.538724771,0.416039695,0.583960305,0.469499855
evi4F --> TF1,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter),,29299942,50.74452497,13849,31732156,47.47404877,58141700,26409544,33172,15172,18000,13466,0.5297856,0.457373689,0.542626311,0.490923799
evi4F --> TF2,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,29036371,50.28804676,13787,31337254,46.88324124,56974186,25636932,32798,15083,17715,13555,0.526677841,0.459875602,0.540124398,0.49101504
evi4F --> TF3,202,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,29026327,50.27065157,13774,31325572,46.86576396,56768815,25443243,32690,15066,17624,13572,0.526084224,0.460874885,0.539125115,0.491325333
evi4 --> TF --> Det,203,Trinity (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,28940851,50.12261581,13617,31181278,46.64988766,54777473,23596195,29665,14781,14884,13857,0.516132411,0.498263947,0.501736053,0.507040804
transfuse 1 (filter),204,Trinity (k=25),Transfuse (filter),,30814288,53.3672185,15073,34369807,51.42020271,73612196,39242389,52940,17328,35612,11310,0.605070186,0.32731394,0.67268606,0.424820417
transfuse 2 (vsearch),204,Trinity (k=25),Transfuse (filter &#8594; vsearch),,30386734,52.62673838,14950,33723160,50.45276289,71550634,37827474,52211,17173,35038,11465,0.599657797,0.328915363,0.671084637,0.424816633
transfuse 3 (transrate),204,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate),,30369194,52.59636088,14937,33677791,50.38488694,70994327,37316536,51914,17149,34765,11489,0.59881975,0.330334784,0.669665216,0.425787069
TF3 --> Det,205,Trinity (k=25),Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,30255146,52.39884133,14662,33423623,50.00462964,66731461,33307838,42245,16505,25740,12133,0.576332146,0.390697124,0.609302876,0.465696994
Detonate,206,Trinity (k=25),Detonate,,30809255,53.35850186,14880,34330857,51.36193014,71588384,37257527,44648,16825,27823,11813,0.587506111,0.376836588,0.623163412,0.459160003
evi ok,301,TransLiG (k=25),evigene ok set,,23767814,41.1634409,10985,24533750,36.70461106,38468095,13934345,18073,11681,6392,16957,0.407884629,0.646323245,0.353676755,0.500139154
evi full,301,TransLiG (k=25),evigene ok + alt/cull set,,26831305,46.46909631,12530,28302432,42.34288515,52038438,23736006,22548,13323,9225,15315,0.465221035,0.590872805,0.409127195,0.520572031
evi4F --> TF1,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter),,26817196,46.44466095,12512,28266815,42.28959904,51477472,23210657,22234,13290,8944,15348,0.46406872,0.597733201,0.402266799,0.522487813
evi4F --> TF2,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch),,26824646,46.45756359,12547,28324975,42.37661143,50963100,22638125,22033,13352,8681,15286,0.466233676,0.606000091,0.393999909,0.527007559
evi4F --> TF3,302,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,26822231,46.45338106,12544,28321230,42.37100859,50884502,22563272,21985,13342,8643,15296,0.465884489,0.606868319,0.393131681,0.527112182
evi4 --> TF --> Det,303,TransLiG (k=25),evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,26762112,46.34926106,12452,28232338,42.23801847,49604464,21372126,21242,13208,8034,15430,0.461205391,0.621787026,0.378212974,0.529591018
